Condo Name,District,Date Posted,Agent Id,Price,Beds,Bathrooms,Sq Feet,Sq Meter
The Sail@Marina Bay ,D01,"18 Mar, 2014",298804,"SGD 6,500 (Guide Price)",1,1,800 sqft,75 sqm
Savannah Condopark ,D18,"18 Mar, 2014",180581,"SGD 3,800 (Guide Price)",4,4,"1,453 sqft",135 sqm
The Cosmopolitan ,D09,"18 Mar, 2014",297315,Price on Ask ,4,0,"1,676 sqft",156 sqm
The Lakefront Residences ,D22,"18 Mar, 2014",308717,"SGD 2,500 (Guide Price)",1,1,484 sqft,45 sqm
Studios @ Bugis ,D07,"18 Mar, 2014",294895,"SGD 3,388 (Fixed)",1,0,260 sqft,24 sqm
5001 Beach Rd ,D07,"18 Mar, 2014",294895,"SGD 2,288 (Guide Price)",1,1,250 sqft,23 sqm
Pinevale ,D18,"18 Mar, 2014",205564,"SGD 4,000 (Guide Price)",3,3,"1,628 sqft",152 sqm
"E Coast Rd, Singapore ",D15,"18 Mar, 2014",301301,"SGD 1,600 (Guide Price)",1,1,350 sqft,33 sqm
Venezio ,D16,"18 Mar, 2014",286414,"SGD 3,400 (Guide Price)",3,2,"1,173 sqft",109 sqm
Double Bay Residences ,D18,"18 Mar, 2014",280186,"SGD 3,900 (Negotiable)",2,2,936 sqft,87 sqm
City Square Residences ,D08,"18 Mar, 2014",298804,"SGD 5,400 (Guide Price)",3,3,"1,238 sqft",116 sqm
Bedok Court ,D16,"18 Mar, 2014",322106,"SGD 4,950 (Offers in Excess of)",3,2,"2,141 sqft",199 sqm
Alexandra Road Service Apartments - Short Term ,D03,"18 Mar, 2014",322106,"SGD 6,000 ",2,2,603 sqft,56 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",298804,"SGD 5,000 (Guide Price)",2,2,883 sqft,83 sqm
Bouna Vista Svs Apt - Short Term ,D05,"18 Mar, 2014",322106,"SGD 5,500 ",1,1,517 sqft,48 sqm
Double Bay Residences ,D18,"18 Mar, 2014",322106,"SGD 3,800 ",2,2,"1,001 sqft",93 sqm
Kovan MRT ,D20,"18 Mar, 2014",301301,"SGD 1,900 (Guide Price)",1,1,350 sqft,33 sqm
Double Bay Residences ,D18,"18 Mar, 2014",280186,"SGD 3,800 (Negotiable)",2,2,936 sqft,87 sqm
Holland Drive Service Apartment - Short Term ,D10,"18 Mar, 2014",322106,"SGD 5,650 (Guide Price)",1,1,525 sqft,49 sqm
Kent Ridge Park Svs Apt - Short Term ,D05,"18 Mar, 2014",322106,"SGD 6,000 ",3,2,"1,270 sqft",118 sqm
Makena ,D15,"18 Mar, 2014",322106,"SGD 6,250 (Offers in Excess of)",4,3,"1,776 sqft",165 sqm
Lumiere ,D02,"18 Mar, 2014",322106,"SGD 6,000 ",2,2,"1,001 sqft",93 sqm
Marina Bay Suites ,D01,"18 Mar, 2014",322106,"SGD 9,950 ",4,3,"2,056 sqft",191 sqm
Queens ,D03,"18 Mar, 2014",298804,"SGD 5,400 (Guide Price)",3,2,"1,195 sqft",112 sqm
Seran Court ,D13,"18 Mar, 2014",301301,"SGD 2,300 (Guide Price)",1,1,400 sqft,38 sqm
Pearl-s Hill Terrace ,D03,"18 Mar, 2014",322106,"SGD 2,300 ",2,1,650 sqft,60 sqm
Parc Palais ,D23,"18 Mar, 2014",284577,"SGD 3,800 (Negotiable)",4,4,"1,487 sqft",138 sqm
Residency @ Mt Sophia ,D09,"18 Mar, 2014",322106,"SGD 3,950 (Guide Price)",1,1,700 sqft,65 sqm
Sea Avenue Mansion ,D15,"18 Mar, 2014",322106,"SGD 3,400 (Offers in Excess of)",2,2,980 sqft,91 sqm
The Interlace ,D04,"18 Mar, 2014",322106,"SGD 6,300 (Offers in Excess of)",3,3,"1,755 sqft",163 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",298804,"SGD 6,800 (Guide Price)",3,2,"1,184 sqft",110 sqm
The Foresta @ Mount Faber ,D04,"18 Mar, 2014",286414,"SGD 2,800 (Guide Price)",1,1,431 sqft,41 sqm
Seran Court ,D19,"18 Mar, 2014",301301,"SGD 2,100 (Guide Price)",1,3,300 sqft,28 sqm
Ferraria Park  ,D17,"18 Mar, 2014",284489,"SGD 3,500 ",3,3,"1,327 sqft",123 sqm
D-WEAVE ,D14,"18 Mar, 2014",284489,"SGD 2,800 (Offers in Excess of)",2,1,550 sqft,51 sqm
La fleur  ,D14,"18 Mar, 2014",284489,"SGD 2,200 (Guide Price)",1,1,500 sqft,46 sqm
The Hamilton Scotts ,D09,"18 Mar, 2014",286414,"SGD 12,000 (Guide Price)",3,4,"2,756 sqft",257 sqm
D-WEAVE ,D14,"18 Mar, 2014",284489,"SGD 2,800 (Guide Price)",2,1,560 sqft,52 sqm
Ferraria Park  ,D17,"18 Mar, 2014",284489,"SGD 3,500 (Price on Ask)",3,3,"1,350 sqft",125 sqm
LA FLEUR ,D14,"18 Mar, 2014",284489,"SGD 2,200 (Guide Price)",1,1,500 sqft,46 sqm
La fleur ,D14,"18 Mar, 2014",284489,"SGD 2,200 (Guide Price)",1,1,499 sqft,46 sqm
The Lakefront Residences ,D22,"18 Mar, 2014",308717,"SGD 4,500 (Guide Price)",3,3,"1,238 sqft",116 sqm
Trevista@Toa Payoh ,D12,"18 Mar, 2014",298804,"SGD 3,800 (Guide Price)",2,2,926 sqft,87 sqm
Kim Sia Court ,D09,"18 Mar, 2014",282651,"SGD 4,800 (Guide Price)",2,0,"1,065 sqft",99 sqm
Cabana ,D28,"18 Mar, 2014",288837,"SGD 7,000 ",4,4,"3,000 sqft",279 sqm
8 @ Mount Sophia ,D09,"18 Mar, 2014",298804,"SGD 4,500 (Guide Price)",1,1,861 sqft,80 sqm
Rosewood Suites ,D25,"18 Mar, 2014",288837,"SGD 2,800 (Negotiable)",3,2,"1,066 sqft",100 sqm
The Lakefront Residences ,D22,"18 Mar, 2014",308717,"SGD 3,400 ",2,2,710 sqft,66 sqm
Valley Park ,D10,"18 Mar, 2014",298804,"SGD 3,500 (Negotiable)",1,1,764 sqft,71 sqm
12a Serangoon centre ,D06,"18 Mar, 2014",301301,"SGD 2,000 (Price on Ask)",1,1,350 sqft,33 sqm
Icon ,D02,"18 Mar, 2014",306918,"SGD 5,000 (Negotiable)",2,0,850 sqft,79 sqm
SERVICED APARTMENTS At Beach Road ,D07,"18 Mar, 2014",306918,"SGD 3,279 (Guide Price)",1,1,550 sqft,51 sqm
Icon ,D02,"18 Mar, 2014",306918,"SGD 4,499 (Offers in Excess of)",1,1,700 sqft,65 sqm
Capella 1 Bedder Suite ,D04,"18 Mar, 2014",306918,"SGD 10,699 (Guide Price)",1,1,"1,172 sqft",109 sqm
Jia ,D09,"18 Mar, 2014",306918,"SGD 6,799 (Negotiable)",3,4,"1,528 sqft",142 sqm
Vista Residences ,D12,"18 Mar, 2014",306918,"SGD 3,499 (View to offer)",1,1,646 sqft,60 sqm
Brentwood Villas ,D09,"18 Mar, 2014",306918,"SGD 12,499 (Negotiable)",4,4,"2,300 sqft",214 sqm
Cabana ,D28,"18 Mar, 2014",306918,"SGD 6,799 ",4,3,"2,885 sqft",268 sqm
The Clift ,D01,"18 Mar, 2014",306918,"SGD 5,299 (Guide Price)",1,1,"1,076 sqft",100 sqm
Orange Regency ,D10,"18 Mar, 2014",306918,"SGD 6,899 (Guide Price)",4,3,"1,776 sqft",165 sqm
Icon ,D02,"18 Mar, 2014",306918,"SGD 6,000 (Fixed)",2,1,"1,050 sqft",98 sqm
The Quartz ,D19,"18 Mar, 2014",306918,"SGD 3,999 (Negotiable)",3,3,"1,163 sqft",108 sqm
L'Viv ,D11,"18 Mar, 2014",306918,"SGD 5,999 (Guide Price)",2,2,990 sqft,92 sqm
The Minton ,D19,"18 Mar, 2014",306918,"SGD 3,499 (Guide Price)",2,2,990 sqft,92 sqm
Ardmore Residence ,D10,"18 Mar, 2014",306918,"SGD 18,999 (Negotiable)",4,5,"3,186 sqft",296 sqm
Ardmore Park ,D10,"18 Mar, 2014",306918,"SGD 18,999 (Guide Price)",4,0,"3,186 sqft",296 sqm
Compass Heights ,D19,"18 Mar, 2014",306918,"SGD 3,500 (Negotiable)",2,0,"1,100 sqft",102 sqm
Ue Square ,D09,"18 Mar, 2014",306918,"SGD 7,499 (Guide Price)",3,3,"1,485 sqft",138 sqm
Watten Estate Condo ,D11,"18 Mar, 2014",306918,"SGD 8,699 (Negotiable)",3,3,"2,372 sqft",220 sqm
9 Seraya ,D14,"18 Mar, 2014",306918,"SGD 2,299 (Negotiable)",1,1,500 sqft,46 sqm
The Minton ,D19,"18 Mar, 2014",306918,"SGD 2,999 (Offers in Excess of)",2,2,"1,097 sqft",102 sqm
The Bayron ,D09,"18 Mar, 2014",306918,"SGD 7,999 (Guide Price)",3,2,"1,432 sqft",133 sqm
Domus ,D12,"18 Mar, 2014",306918,"SGD 4,000 (Guide Price)",2,2,905 sqft,84 sqm
Thomson Hills ,D20,"18 Mar, 2014",306918,"SGD 8,499 ",5,5,"3,366 sqft",313 sqm
Aspen Heights ,D09,"18 Mar, 2014",298804,"SGD 5,800 (Negotiable)",3,3,"1,324 sqft",123 sqm
The Sail@Marina Bay ,D01,"18 Mar, 2014",306918,"SGD 6,799 (Negotiable)",3,3,"1,184 sqft",110 sqm
The Quayside ,D09,"18 Mar, 2014",306918,"SGD 8,000 ",3,0,"1,345 sqft",125 sqm
City Square Residences ,D08,"18 Mar, 2014",306918,"SGD 4,999 (Guide Price)",3,3,"1,206 sqft",112 sqm
Skypark@Sommerset ,D09,"18 Mar, 2014",306918,"SGD 29,999 (Offers in Excess of)",4,4,"5,974 sqft",555 sqm
Urban Edge@Holland V ,D10,"18 Mar, 2014",306918,"SGD 6,800 (Guide Price)",3,3,"1,227 sqft",114 sqm
The Clift ,D01,"18 Mar, 2014",306918,"SGD 4,999 (Offers in Excess of)",1,2,764 sqft,71 sqm
Costa Rhu ,D15,"18 Mar, 2014",306918,"SGD 7,499 (View to offer)",4,0,"2,088 sqft",194 sqm
D'Ecosia ,D15,"18 Mar, 2014",306918,"SGD 3,999 (Guide Price)",1,2,"1,010 sqft",94 sqm
Harbourlights ,D04,"18 Mar, 2014",306918,"SGD 3,499 (Offers in Excess of)",2,2,800 sqft,74 sqm
Whiteshores ,D19,"18 Mar, 2014",306918,"SGD 7,899 (Negotiable)",5,5,"6,491 sqft",603 sqm
Harbour View Towers ,D04,"18 Mar, 2014",306918,"SGD 3,299 (Fixed)",1,1,377 sqft,35 sqm
Domus ,D12,"18 Mar, 2014",306918,"SGD 3,500 (Guide Price)",1,1,474 sqft,44 sqm
Parc Emily ,D09,"18 Mar, 2014",306918,"SGD 5,799 (Negotiable)",2,2,893 sqft,83 sqm
Vista Residences ,D12,"18 Mar, 2014",306918,"SGD 3,999 (Offers in Excess of)",2,2,904 sqft,84 sqm
